Metric,Value
ROC-AUC,0.7604452899316565
PR-AUC,0.40807358972126884
Accuracy,0.8104575163398693
Balanced accuracy,0.6062143310082435
F1,0.35555555555555557
Precision,0.48484848484848486
Sensitivity,0.2807017543859649
Specificity,0.9317269076305221
