Metric,Value
ROC-AUC,0.7708729655463961
PR-AUC,0.4143485630542147
Accuracy,0.6895424836601307
Balanced accuracy,0.7348340731346439
F1,0.4919786096256685
Precision,0.35384615384615387
Sensitivity,0.8070175438596491
Specificity,0.6626506024096386
