,Mean,Standard deviation
roc_auc,0.7940666666666666,0.10088910915296562
average_precision,0.5197040727303884,0.12235199350582952
accuracy,0.6900000000000002,0.09480954099729562
balanced_accuracy,0.7363333333333333,0.09866328823044793
f1,0.4989164887923132,0.10958033636279324
precision,0.3673574301515478,0.09661527821781746
sensitivity,0.8100000000000002,0.1735966660657278
specificity,0.6626666666666667,0.11641560287432519
