Model,ROC-AUC,PR-AUC,Accuracy,Balanced accuracy,F1,Precision,Sensitivity,Specificity,True negatives,False positives,False negatives,True positives
LASSO Logistic Regression,0.726766715986754,0.40758664724402904,0.8006535947712419,0.6001902346227013,0.34408602150537637,0.4444444444444444,0.2807017543859649,0.9196787148594378,229,20,41,16
L2 Logistic Regression,0.7708729655463961,0.4143485630542147,0.6895424836601307,0.7348340731346439,0.4919786096256685,0.35384615384615387,0.8070175438596491,0.6626506024096386,165,84,11,46
