model,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,true_negative,false_positive,false_negative,true_positive
Custom Random Forest,0.7488198407665752,0.4026578000857983,0.803921568627451,0.5075036990065525,0.0625,0.2857142857142857,0.03508771929824561,0.9799196787148594,244,5,55,2
Sklearn Random Forest,0.7755936024800958,0.4529165716584388,0.8235294117647058,0.5466074825618262,0.18181818181818182,0.6666666666666666,0.10526315789473684,0.9879518072289156,246,3,51,6
