fold,probe_id
2,210661_at
2,210669_at
2,210678_s_at
2,210701_at
2,210709_at
2,210710_at
2,210771_at
2,210832_x_at
2,210838_s_at
2,210869_s_at
2,210871_x_at
2,210893_at
2,210965_x_at
2,210979_at
2,211065_x_at
2,211103_at
2,211276_at
2,211338_at
2,211359_s_at
2,211412_at
2,211419_s_at
2,211425_x_at
2,211466_at
2,211490_at
2,211506_s_at
2,211523_at
2,211553_x_at
2,211575_s_at
2,211588_s_at
2,211620_x_at
2,211627_x_at
2,211650_x_at
2,211674_x_at
2,211702_s_at
2,211789_s_at
2,211814_s_at
2,211825_s_at
2,211845_at
2,211892_s_at
2,211901_s_at
2,211924_s_at
2,212082_s_at
2,212088_at
2,212135_s_at
2,212148_at
2,212221_x_at
2,212257_s_at
2,212286_at
2,212287_at
2,212294_at
2,212308_at
2,212315_s_at
2,212330_at
2,212334_at
2,212375_at
2,212394_at
2,212399_s_at
2,212431_at
2,212449_s_at
2,212471_at
2,212544_at
2,212584_at
2,212628_at
2,212682_s_at
2,212689_s_at
2,212690_at
2,212707_s_at
2,212757_s_at
2,212799_at
2,212837_at
2,212887_at
2,213015_at
2,213016_at
2,213029_at
2,213032_at
2,213081_at
2,213091_at
2,213100_at
2,213117_at
2,213137_s_at
2,213139_at
2,213147_at
2,213176_s_at
2,213177_at
2,213192_at
2,213195_at
2,213233_s_at
2,213316_at
2,213339_at
2,213407_at
2,213416_at
2,213448_at
2,213472_at
2,213516_at
2,213543_at
2,213546_at
2,213724_s_at
2,213757_at
2,213769_at
2,213803_at
2,213805_at
2,213808_at
2,213834_at
2,213838_at
2,213870_at
2,213947_s_at
2,214003_x_at
2,214086_s_at
2,214126_at
2,214130_s_at
2,214160_at
2,214231_s_at
2,214279_s_at
2,214353_at
2,214379_at
2,214389_at
2,214400_at
2,214447_at
2,214488_at
2,214502_at
2,214508_x_at
2,214518_at
2,214566_at
2,214571_at
2,214605_x_at
2,214638_s_at
2,214697_s_at
2,214735_at
2,214746_s_at
2,214798_at
2,214826_at
