model,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity
Custom Random Forest,0.7772845769041076,0.4481913984996012,0.7581699346405228,0.6890720777848235,0.4714285714285714,0.39759036144578314,0.5789473684210527,0.7991967871485943
Sklearn Random Forest,0.7411399985908547,0.4162567681911647,0.6862745098039216,0.7057704502219404,0.4666666666666667,0.34146341463414637,0.7368421052631579,0.6746987951807228
